,0
0,%
1,-
2,-1999/2108cos
3,-20
4,-20ºc
5,-40
6,-40º
7,000
8,1
9,10
10,101
11,11
12,110
13,12
14,13
15,143
16,148
17,15
18,158
19,16
20,164
21,166
22,17
23,18
24,19
25,1989
26,1993
27,1993-1995
28,1994
29,1994/1999
30,1996
31,1997
32,1998
33,1998/0106cod
34,1999
35,1999/0083
36,1999/2107cos
37,1999/2110cos
38,1999/2123cos]
39,1999/2124cos
40,1999/2127cos
41,1er
42,2
43,20
44,2000
45,2000-2006
46,2000/2006
47,2001
48,2002-2006
49,2003
50,2007
51,20h25
52,21
53,23
54,237
55,2496/96/ceca
56,25
57,27
58,299
59,3
60,34
61,37
62,4
63,5
64,50
65,540
66,55
67,6
68,60
69,7
70,80
71,81
72,82
73,85
74,86
75,87
76,88
77,89
78,9002
79,94
80,94/55/ce
81,95
82,95/35/ce
83,96/35/ce
84,START_
85,[sec990066
86,_END
87,a
88,a-t-il
89,a-t-on
90,a5-0069/1999
91,a5-0073/1999
92,a5-0078/1999
93,a5-0087/1999
94,a5-0104/1999
95,a5-0105/1999
96,a5-0107/1999
97,a5-0108/1999
98,abaissée
99,abandon
100,abc
101,abonnés
102,abord
103,aborder
104,abordé
105,abordées
106,abouti
107,aboutir
108,absence
109,absente
110,absents
111,absolues
112,absolument
113,abstentions
114,abus
115,accablé
116,accent
117,accentuent
118,acceptation
119,accepte
120,accepter
121,acceptera
122,acceptons
123,acceptés
124,accessible
125,accident
126,accidents
127,accompagner
128,accompli
129,accomplis
130,accord
131,accorde
132,accorder
133,accordez-lui
134,accordons
135,accords
136,accordé
137,accordée
138,accordées
139,accroissement
140,accroissent
141,accroître
142,accrue
143,accrues
144,accusation
145,accusent
146,accélèrent
147,achevé
148,acquis
149,acquise
150,acquièrent
151,acte
152,actes
153,acteurs
154,actif
155,action
156,actives
157,activité
158,activités
159,actualités
160,actuel
161,actuelle
162,actuellement
163,actuelles
164,ad
165,adaptation
166,adapter
167,adaptée
168,adaptées
169,adhéreront
170,administratifs
171,administration
172,administrations
173,administrative
174,administratives
175,adopte
176,adoptera
177,adopterons
178,adoption
179,adoptons
180,adopté
181,adoptée
182,adoptées
183,adoptés
184,adr
185,adresse
186,adresser
187,adultes
188,adéquate
189,adéquates
190,affaire
191,affaires
192,affirmant
193,affirmation
194,affirmer
195,afférentes
196,afférents
197,afin
198,agir
199,agissant
200,agisse
201,agit
202,agricole
203,agricoles
204,agriculteurs
205,agriculture
206,agrégées
207,ahern
208,ai
209,ai-je
210,aidant
211,aide
212,aident
213,aider
214,aides
215,aient
216,aigus
217,ailleurs
218,aimeraient
219,ainsi
220,ait
221,ajournement
222,ajoute
223,ajouterai
224,ajouts
225,ajouté
226,ajoutée
227,ajuster
228,alexandre
229,allant
230,allemagne
231,allemand
232,aller
233,allocation
234,allons
235,allouées
236,alors
